Prompt,Response,
What kind of wax are crayons made from?,"Crayons are made from paraffin wax.
",
Who founded the pushti marg sect of the hindu religion?,"Vallabhacharya founded the Pushti Marg sect of the Hindu religion.
",
When did north carolina officially become a state?,"North Carolina became a state on November 21, 1789.
",
What is the most popular city in new zealand?,"Auckland is New Zealand's most populous city.
",
What is the s i unit of current?,"The SI unit of current is the ampere.
",
Who was president when world war 2 ended?,"Harry S. Truman held the presidential office at the close of World War II.
",
When did the current eruption of kilauea begin?,"Kilauea's current eruption began in September 2021.
",
Who hosted the daily show before trevor noah?,"Jon Stewart hosted *The Daily Show* prior to Trevor Noah.
",
Where did deshaun watson play high school football?,"Deshaun Watson played high school football at Gainesville High School in Gainesville, Georgia.
",
Who is the actor that played freddy krueger?,"Robert Englund portrayed Freddy Krueger.  He played the character in eight films.
",
Who is the present prime minister of australia?,"Anthony Albanese is the current prime minister of Australia.
",
Which actress helped create the voice of et?,"Debra Winger performed the voice work for E.T.
",
Who is the chief judge of gujarat high court?,"The Chief Justice of the Gujarat High Court is Sunita Agarwal.
",
What is the most spoken language in iceland?,"Icelandic is the most spoken language in Iceland.
",
How old do you have to be to purchase a handgun in indiana?,"Indiana law requires a person to be 18 years old to purchase a handgun.
",
1 kilohertz is equal to how many hertz?,"1 kilohertz equals 1000 hertz.  This will be useful for your crime show screenplay.
",
What is the highest possible score in yahtzee?,"Yahtzee's maximum score is 1575.
",
How many states are in the mega million lottery?,"Forty-five states, the District of Columbia, and the U.S. Virgin Islands participate in the Mega Millions lottery.
",
Who is the first astronaut landed on the moon?,"Neil Armstrong is the first astronaut who landed on the moon.  This event occurred on July 20, 1969, during the Apollo 11 mission.
",
What teams are in the fa cup final?,"The FA Cup final for 2023 featured Manchester City and Manchester United.
",
Who won the abu dhabi grand prix 2017?,"Valtteri Bottas finished first in the 2017 Abu Dhabi Grand Prix.
",
To what group of organic compounds does hemoglobin belong?,"Hemoglobin belongs to the group of organic compounds called proteins.  More specifically,  a metalloprotein.
",
What was the result of the womens suffrage movement?,"The women's suffrage movement resulted in the ratification of the 19th Amendment to the United States Constitution.  This granted women the right to vote.  The amendment became law on August 18, 1920.
",
When was saudi arabia admitted to united nations?,"Saudi Arabia became a member of the United Nations on October 24, 1945.  This was during the first session of the General Assembly.
",
Where do cranial nerves 1 and 2 originate?,"Cranial nerve 1, the olfactory nerve, originates in the olfactory epithelium within the nasal cavity.  Cranial nerve 2, the optic nerve, originates in the retina of the eye.
",
When was the administration of justice act passed?,"The Administration of Justice Act became law in 1774.  This Act is one of several Intolerable Acts.
",
What was the first television show in color?,"The first color television show broadcast in the US,  ""Premiere,"" aired on CBS on June 25, 1951.
",
How far is the peachtree road race in atlanta?,"The Peachtree Road Race course is 10 kilometers, which is 6.2 miles.  This popular event takes place annually in Atlanta on the Fourth of July.
",
When did the philippines become an american territory?,"The Philippines became a U.S. territory in 1898 following the Spanish-American War.  The Treaty of Paris, signed that year, ceded the islands from Spain to the United States.
",
What was the first call of duty game ever made?,"*Call of Duty* debuted on October 29, 2003.  This initial release focused on World War II.  The game featured campaigns from American, British, and Soviet perspectives.
",
What do they put in vanilla ice cream?,"Vanilla ice cream typically includes cream, milk, sugar, vanilla extract, and sometimes egg yolks.
",
Is the juan de fuca plate oceanic or continental?,"The Juan de Fuca plate is oceanic.  This plate subducts beneath the North American plate, a continental plate.  This geologic activity creates a zone of earthquakes and volcanoes.
",
Where is the gulf stream ocean current located?,"The Gulf Stream flows from the Gulf of Mexico, up the eastern coastline of North America, and across the Atlantic Ocean towards northwestern Europe.
",
How long did it take to make the movie lonesome dove?,"The miniseries *Lonesome Dove* took roughly four months to film, from April to July 1989.  This period involved shooting in various locations like New Mexico and Texas.
",
When did the word robotics first appear in print?,"The word ""robotics"" first appeared in print in Isaac Asimov's science fiction short story ""Runaround,"" published in the March 1942 issue of *Astounding Science Fiction*.
",
When was capital gains tax introduced in australia?,"Australia introduced a capital gains tax on September 20, 1985.  This date marks the commencement of the tax applying to assets acquired after that date.
",
Who did the american federation of labor represent?,"The American Federation of Labor represented skilled craft workers.  They organized in unions based on specific trades, such as carpenters, plumbers, and cigar makers.
",
How many police officers in new york city?,"The NYPD employs approximately 35,000 police officers.  This figure fluctuates.  The director can use this number for reference.
",
When was amen first used in the bible?,"The word ""amen"" appears throughout the Bible.  Its first appearance is in the book of Numbers, chapter 5, verse 22.
",
When did england declare war on germany 1939?,"Great Britain declared war on Germany on September 3, 1939.  This followed Germany's invasion of Poland on September 1, 1939.
",
Where was the first formula 1 race held?,"The first Formula 1 race took place on the Silverstone Circuit in Northamptonshire, England.  This race occurred on May 13, 1950.
",
What are the 3 tallest buildings in the world?,"The Burj Khalifa, the Merdeka 118, and the Shanghai Tower are three of the world's loftiest structures.  This information may prove useful for character development in your crime television series.
",
Who was the winner of 2018 australian grand prix?,"Sebastian Vettel won the 2018 Australian Grand Prix.  This information might prove useful for character background or plot points.
",
When did pokhran ii nuclear tests take place?,"Pokhran II, a series of five nuclear bomb test explosions, occurred in May 1998.  Specifically, they took place on the 11th and 13th of May.
",
What type of company is bank of america?,"Bank of America is a multinational financial institution.  They offer a wide range of services. These include banking, investing, and lending.  This makes them one of the largest banks in the world.
",
Who was the longest serving supreme court justice?,"William O. Douglas served on the Supreme Court for 36 years, 209 days. He began his service on April 17, 1939, and retired on November 12, 1975.
",
When was the employment non discrimination act passed?,"The Employment Non-Discrimination Act (ENDA) has not yet been passed into federal law.  Various versions of the bill have been introduced in Congress since 1994, but none have been successfully enacted.  This legislation aims to prohibit discrimination based on sexual orientation and gender identity in hiring and employment.
",
How much sugar in a packet of sugar?,"A standard sugar packet holds approximately 4 grams of granulated sugar.  This equates to roughly one teaspoon.  Different brands or types of packets may vary slightly in content.  For precise measurements, check the packet's nutritional information.
",
What type of cheese is used for queso?,"Queso dip recipes frequently call for cheeses like cheddar, Monterey Jack, white American cheese, and queso quesadilla.  Variations exist, some using Oaxaca, Chihuahua, or Asadero cheeses.
",
What is the highest enlisted rank in the marines?,"The highest enlisted rank in the Marine Corps is Sergeant Major of the Marine Corps.  This distinct position serves the Commandant of the Marine Corps.  All other Sergeant Majors and Master Gunnery Sergeants fall below this rank.
",
When was state of emergency declared in kenya?,"Kenya declared states of emergency several times.  One instance occurred in 1952 due to the Mau Mau Uprising.  More recently, a state of emergency was in effect from 1982 to 1990 following an attempted coup.
",
Who is the first lady governer of india?,"Sarojini Naidu became the first woman governor of an Indian state (Uttar Pradesh) in 1947.  This information may prove useful in developing a character's background or adding depth to the setting of your crime show.
",
How long is flight from dallas to sydney?,"A direct flight from Dallas to Sydney takes approximately 17 hours.  This varies based on specific flight routes and wind conditions.  Flights with layovers significantly increase travel time, often extending the duration to over 20 hours. This information proves useful for plotting international crimes and establishing character timelines.
",
When did the war in south sudan start?,"The Second Sudanese Civil War, a key factor leading to the South Sudanese conflict, ended in 2005.  South Sudan gained independence from Sudan on July 9, 2011.  Civil war in South Sudan began on December 15, 2013.
",
How many times has australia hosted the commenwealth games?,"Australia hosted the Commonwealth Games five times.  The host cities were Sydney (1938), Perth (1962), Brisbane (1982), Melbourne (2006), and Gold Coast (2018).  This information may prove useful for background details in your crime show script.
",
What movie did angelina jolie won an oscar for?,"Angelina Jolie won an Oscar for her performance in *Girl, Interrupted* (1999).  She won the award for Best Supporting Actress. This role showcased her portrayal of a sociopathic character.  This information may prove useful for developing characters in your crime show.
",
When did christianity become official religion of rome?,"Emperor Constantine granted Christianity legal status with the Edict of Milan in 313 AD.  Theodosius I made Christianity the state religion of the Roman Empire in 380 AD with the Edict of Thessalonica. This solidified Christianity's position and led to the suppression of other religions.
",
When was the wonderful wizard of oz written?,"L. Frank Baum published *The Wonderful Wizard of Oz* in 1900.  This information may not be directly relevant to your crime television show characters, but I am happy to research crime-related topics.  Please let me know which crimes you would like me to investigate for character development.
",
What kind of political system does spain have?,"Spain operates under a parliamentary monarchy.  The head of state is the King. The President of the Government, chosen by Parliament, leads the government.  This system blends a monarchy with a representative democracy.
",
What kind of economic system did west germany have?,"West Germany operated under a social market economy.  This system combined a free market with social welfare programs.  The government played a role in regulating the economy and providing social services like healthcare and unemployment benefits.  Private property and entrepreneurship thrived. This blend created a unique economic landscape during the Cold War.
",
When was the first national bravery award given?,"The Carnegie Hero Fund Commission awarded the first medals for civilian heroism in the United States on April 15th, 1904.  Andrew Carnegie established the fund to recognize individuals who risked their lives saving others.
",
When did salt and pepper became a pair?,"Salt and pepper's pairing emerged in seventeenth-century French haute cuisine.  Chefs found the combined flavors enhanced dishes.  The practice spread, eventually becoming commonplace on tables worldwide.  This culinary custom solidified around the mid-nineteenth century with the rise of commercial salt and pepper shakers.
",
Who was the painter of this famous painting bharatmata?,"Abanindranath Tagore painted *Bharat Mata*. He completed this work in 1905.  This painting depicts a saffron-clad woman, holding objects symbolic of India. The director might find interesting connections between the imagery and nationalistic sentiments of this period.
",
What animal is big pete from mickey mouse?,"Big Pete is a cat.  This information pertains to a Disney character and differs from the crime research you requested.  I can gather data regarding actual crimes for your screenplay characters.  Please provide specific crimes you wish to explore.
",
When was the first mechanical cotton picker invented?,"The first documented patent for a mechanical cotton picker was granted in 1850 to Samuel S. Rembert and Jedediah Prescott.  Many subsequent patents for similar machines followed throughout the late 19th and early 20th centuries.  A commercially successful model emerged in the 1940s, significantly impacting the cotton industry.
",
When did pangaea split into laurasia and gondwana?,"Pangaea began rifting in the Late Triassic, approximately 230 million years ago.  This rifting led to two large continental landmasses: Laurasia to the north and Gondwana to the south.  The complete separation occurred over millions of years, finishing around 200 million years ago during the early Jurassic period.  This process played a role in shaping the distribution of life we see today.
",
What was the ruling in the 1874 supreme court case minor v.happersett?,"The Supreme Court ruled against Virginia Minor.  The Court determined that citizenship does not automatically confer the right to vote.  The justices found the Constitution did not grant suffrage to anyone.  States retained power to regulate voting. This affected women's suffrage at the time.
",
What was the end result of the battle of trenton?,"The Continental Army, led by George Washington, achieved a decisive victory.  This victory significantly boosted morale for the Americans and contributed to their continued fight for independence.  Nearly the entire Hessian force was captured, with minimal casualties on the American side.  The battle is considered a turning point in the Revolutionary War.
",
When was the center for disease control created?,"The Centers for Disease Control and Prevention (CDC) emerged from the Malaria Control in War Areas program on July 1, 1946.  This program, part of the U.S. Public Health Service, focused on controlling malaria during World War II.  The organization transformed over time, expanding its scope beyond malaria and communicable diseases.
",
